restaurant_id,rest_type
478,Beverage Shop
478,Quick Bites
479,Dessert Parlor
480,Bakery
481,Dessert Parlor
482,Sweet Shop
483,Dessert Parlor
484,Sweet Shop
484,Quick Bites
485,Dessert Parlor
486,Bakery
486,Quick Bites
487,Bakery
488,Sweet Shop
488,Quick Bites
489,Dessert Parlor
490,Casual Dining
491,Takeaway
492,Casual Dining
493,Lounge
494,Casual Dining
494,Bar
495,Casual Dining
496,Bar
496,Casual Dining
497,Casual Dining
498,Casual Dining
499,Quick Bites
500,Quick Bites
501,Casual Dining
502,Casual Dining
503,Bar
504,Beverage Shop
504,Quick Bites
505,Casual Dining
506,Casual Dining
507,Quick Bites
508,Cafe
509,Casual Dining
510,Casual Dining
511,Casual Dining
512,Quick Bites
513,Quick Bites
514,Quick Bites
515,Quick Bites
516,Quick Bites
517,Quick Bites
518,Quick Bites
519,Quick Bites
520,Quick Bites
521,Quick Bites
522,Quick Bites
523,Quick Bites
524,Quick Bites
525,Quick Bites
526,Quick Bites
527,Quick Bites
528,Quick Bites
529,Quick Bites
530,Quick Bites
531,Quick Bites
532,Quick Bites
533,Quick Bites
534,Quick Bites
535,Quick Bites
536,Quick Bites
537,Quick Bites
538,Quick Bites
539,Quick Bites
540,Quick Bites
541,Quick Bites
542,Quick Bites
543,Quick Bites
544,Quick Bites
545,Quick Bites
546,Quick Bites
547,Quick Bites
548,Quick Bites
549,Quick Bites
550,Quick Bites
551,Quick Bites
552,Quick Bites
553,Quick Bites
554,Quick Bites
555,Quick Bites
556,Quick Bites
557,Quick Bites
558,Quick Bites
559,Quick Bites
560,Quick Bites
561,Quick Bites
562,Quick Bites
563,Quick Bites
564,Casual Dining
565,Casual Dining
566,Pub
567,Quick Bites
568,Casual Dining
569,Quick Bites
570,Quick Bites
571,Casual Dining
572,Casual Dining
573,Quick Bites
574,Quick Bites
575,Quick Bites
576,Quick Bites
577,Quick Bites
578,Quick Bites
579,Casual Dining
580,Quick Bites
581,Casual Dining
582,Quick Bites
583,Quick Bites
584,Casual Dining
585,Quick Bites
586,Casual Dining
586,Bar
587,Food Truck
588,Casual Dining
589,Casual Dining
590,Quick Bites
591,Quick Bites
592,Quick Bites
593,Quick Bites
594,Quick Bites
595,Quick Bites
596,Quick Bites
597,Quick Bites
598,Quick Bites
599,Quick Bites
600,Quick Bites
601,Pub
602,Casual Dining
603,Casual Dining
604,Casual Dining
605,Casual Dining
606,Casual Dining
607,Casual Dining
608,Casual Dining
609,Casual Dining
610,Casual Dining
611,Casual Dining
612,Casual Dining
613,Cafe
614,Casual Dining
615,Casual Dining
616,Casual Dining
617,Casual Dining
618,Cafe
619,Cafe
620,Cafe
621,Cafe
622,Cafe
623,Cafe
624,Food Court
625,Cafe
626,Cafe
627,Cafe
628,Cafe
628,Bakery
629,Cafe
630,Dessert Parlor
631,Cafe
632,Cafe
632,Casual Dining
633,Quick Bites
633,Cafe
634,Cafe
635,Cafe
636,Cafe
636,Casual Dining
637,Cafe
638,Delivery
639,Quick Bites
640,Cafe
641,Cafe
642,Cafe
643,Cafe
644,Cafe
645,Quick Bites
645,Cafe
646,Casual Dining
646,Cafe
647,Cafe
648,Cafe
649,Cafe
650,Cafe
651,Cafe
652,Cafe
653,Cafe
654,Cafe
655,Quick Bites
656,Cafe
657,Cafe
658,Cafe
659,Delivery
660,Casual Dining
661,Casual Dining
662,Quick Bites
663,Quick Bites
664,Takeaway
664,Delivery
665,Quick Bites
666,Takeaway
666,Delivery
667,Takeaway
667,Delivery
668,Takeaway
668,Delivery
669,Quick Bites
670,Dessert Parlor
671,Quick Bites
672,Takeaway
672,Delivery
673,Takeaway
673,Delivery
674,Delivery
675,Quick Bites
676,Quick Bites
677,Quick Bites
